name,calories,price
手巻おにぎり　ゆかり®ごはん(しば漬け),155,192
手巻おにぎり　シーチキン®マヨネーズ,226,181
手巻おにぎり　北海道産日高昆布,173,184
手巻おにぎり　炙り熟成紅鮭,174,221
手巻おにぎり　熟成紀州南高梅,169,184
手巻おにぎり　熟成辛子明太子,174,221
手延べそうめん,249,451
振っておいしいパスタサラダ　イタリアンバジル,295,430
振っておいしいパスタサラダ　メキシカンタコスミート,224,430
振っておいしいパスタサラダ　海老明太子,258,397
振っておいしいパスタサラダ　豚しゃぶ,340,397
振っておいしいフォーサラダ　蒸し鶏,222,397
月見とろろそば,408,646
杵つき豆大福　つぶあん,192,192
桃のパフェ,181,322
桃のレアチーズケーキ,137,279
油そば　にんにく酢付き,491,322
泡ショコラ,162,275
泡チーズ,135,259
海からクン　エビマヨネーズ味,216,259
海老とカニカマの明太子サラダ,189,297
海老とブロッコリーのペペロンチーノ風サラダ,91,333
海老ピラフ,279,192
海老肉焼売,38,343
海老蒸し餃子,129,300
海苔と塩の和ラスク,544,348
満腹濃厚豚ラーメン,795,745
濃厚たまごのカスタードクッキーシュー,185,216
濃厚ショコラ,88,148
濃厚チョコチップブラウニー,136,238
濃厚デミソースのロコモコ,406,473
濃厚ベシャメルソースの海老グラタン,294,443
濃厚ミルクフランス　北海道産練乳・生クリーム使用,332,160
濃厚明太子クリームパスタ,457,343
炒飯,343,192
炭火が香る本格焼鳥(たれ),199,333
炭火が香る本格焼鳥(塩),202,333
炭火焼鳥2種　ハラミ＆砂肝,182,333
炭火焼鳥ささみ　九州産柚子胡椒,127,333
焙煎胡麻ドレッシング,101,38
焦がしバター香るカヌレ,145,462
焦がしバター香るフィナンシェ,161,387
焼きそばパン,277,171
焼ビーフン,282,257
照焼チキンたまごサンド,275,365
牛タンねぎ塩だれ,107,495
牛ハラミにんにく入り,217,635
牛塩ホルモン焼,252,462
牛肉の旨み引き立つミートドリア,277,389
牛肉メンチ,198,130
牛肉入りカレーパン,329,149
牛肉入りコロッケパン,328,181
特盛明太マヨネーズ,967,697
玉ねぎサラダ,26,257
生チョコトリュフ　クリーム入り,75,484
生チーズケーキ,189,495
生バウムクーヘン,267,171
生パスタ　海老トマトクリーム,411,397
発酵バターのパンケーキ　8枚入,75,235
発酵バター香るさくふわベルギーワッフル,229,178
白いふわふわパン　チョコクリーム,452,149
皮ごと食べられる種なし ぶどう,77,279
盛岡風冷麺,334,646
砂肝にんにくまみれ,160,322
紅はるかのおいも蒸しパン　4個入,79,203
紅茶のスコーン　4個入,142,235
緑野菜のナムル風サラダ,59,297
胡麻さけおにぎり,183,167
花椒香る汁なし担々麺,596,322
芳醇フロマージュ,88,148
苺ジャムパン　4個入,107,160
蒸し鶏とザーサイのサラダ,107,297
蒸し鶏のサラダ,52,289
角切りりんごのデニッシュ　4個入,109,181
贅沢厚切りハムカツ,175,188
野菜かき揚げそば,570,599
野菜ミックスサンド,226,354
阿波尾鶏の鶏五目おにぎり,171,192
食物繊維が摂れる　豆腐とひじきの和風サラダ,95,297
香り豊かなもっちりとした食パン　6枚入,157,181
香り豊かなもっちりとした食パン　8枚入,119,181
香味野菜香る具付き味噌ラーメン,466,246
高菜ピラフ,306,192
鶏から揚げ,401,333
鶏から揚げ(辛口),453,333
麺処ほん田監修　ニボコン　煮干しと昆布の冷しラーメン(醤油),354,697
黒酢たれで食べる　よだれ鶏サラダ,114,297
Ｌから　4個,367,298
Ｌチキ　レギュラー,255,248
Ｌチキ　レッド,247,259
Ｌチキバンズ,176,84
